[dotenv@17.3.1] injecting env (18) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
✅ Background jobs started
✅ SKU Tracking System initialized
✅ Server running on port 4000
✅ MongoDB connected
✅ Default categories and brands seeded
>>> 2026-09-13T14:10:24.003Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:11:23.788Z GET /allproducts from ::1
>>> 2026-09-13T14:11:23.988Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:12:23.797Z GET /allproducts from ::1
>>> 2026-09-13T14:12:23.998Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:13:23.794Z GET /allproducts from ::1
>>> 2026-09-13T14:13:24.027Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:13:47.969Z POST /getcart from ::1
>>> 2026-09-13T14:13:47.975Z GET /allproducts from ::1
>>> 2026-09-13T14:13:47.977Z GET /user/profile from ::1
>>> 2026-09-13T14:13:47.978Z GET /userfavorites from ::1
>>> 2026-09-13T14:13:48.104Z GET /allproducts from ::1
>>> 2026-09-13T14:13:48.131Z GET /allproducts from ::1
>>> 2026-09-13T14:14:04.059Z GET /userfavorites from ::1
>>> 2026-09-13T14:14:04.066Z GET /user/profile from ::1
>>> 2026-09-13T14:14:04.069Z POST /getcart from ::1
>>> 2026-09-13T14:14:04.211Z GET /allproducts from ::1
>>> 2026-09-13T14:14:04.245Z GET /allproducts from ::1
>>> 2026-09-13T14:14:06.566Z POST /getcart from ::1
>>> 2026-09-13T14:14:06.606Z GET /allproducts from ::1
>>> 2026-09-13T14:14:06.609Z GET /user/profile from ::1
>>> 2026-09-13T14:14:06.611Z GET /userfavorites from ::1
>>> 2026-09-13T14:14:06.698Z GET /allproducts from ::1
>>> 2026-09-13T14:14:06.819Z GET /allproducts from ::1
>>> 2026-09-13T14:14:23.807Z GET /allproducts from ::1
>>> 2026-09-13T14:14:23.999Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:15:23.792Z GET /allproducts from ::1
>>> 2026-09-13T14:15:23.948Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:16:23.795Z GET /allproducts from ::1
>>> 2026-09-13T14:16:23.967Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:17:23.791Z GET /allproducts from ::1
>>> 2026-09-13T14:17:24.021Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:18:23.787Z GET /allproducts from ::1
>>> 2026-09-13T14:18:24.034Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:19:23.797Z GET /allproducts from ::1
>>> 2026-09-13T14:19:24.011Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:20:09.240Z GET /allproducts from ::1
>>> 2026-09-13T14:20:14.343Z GET /allproducts from ::1
>>> 2026-09-13T14:20:23.791Z GET /allproducts from ::1
>>> 2026-09-13T14:20:23.959Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:21:23.786Z GET /allproducts from ::1
>>> 2026-09-13T14:21:24.009Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:22:23.792Z GET /allproducts from ::1
>>> 2026-09-13T14:22:23.994Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:23:23.803Z GET /allproducts from ::1
>>> 2026-09-13T14:23:23.965Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:24:23.795Z GET /allproducts from ::1
>>> 2026-09-13T14:24:23.963Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:25:23.809Z GET /allproducts from ::1
>>> 2026-09-13T14:25:23.991Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:26:23.792Z GET /allproducts from ::1
>>> 2026-09-13T14:26:23.993Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:27:23.795Z GET /allproducts from ::1
>>> 2026-09-13T14:27:23.985Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:28:23.211Z GET /allproducts from ::1
>>> 2026-09-13T14:28:23.805Z GET /allproducts from ::1
>>> 2026-09-13T14:28:23.972Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:28:27.273Z GET /allproducts from ::1
>>> 2026-09-13T14:28:54.768Z GET /allproducts from ::1
>>> 2026-09-13T14:28:58.067Z GET /allproducts from ::1
>>> 2026-09-13T14:29:23.800Z GET /allproducts from ::1
>>> 2026-09-13T14:29:23.966Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:29:36.496Z GET /allproducts from ::1
>>> 2026-09-13T14:29:46.874Z GET /allproducts from ::1
>>> 2026-09-13T14:30:23.824Z GET /allproducts from ::1
>>> 2026-09-13T14:30:24.033Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:30:55.766Z GET /allproducts from ::1
>>> 2026-09-13T14:31:15.192Z GET /allproducts from ::1
>>> 2026-09-13T14:31:23.822Z GET /allproducts from ::1
>>> 2026-09-13T14:31:24.071Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:31:28.139Z GET /allproducts from ::1
>>> 2026-09-13T14:32:06.378Z GET /allproducts from ::1
>>> 2026-09-13T14:32:17.853Z POST /getcart from ::1
>>> 2026-09-13T14:32:17.873Z GET /allproducts from ::1
>>> 2026-09-13T14:32:17.875Z GET /user/profile from ::1
>>> 2026-09-13T14:32:17.877Z GET /userfavorites from ::1
>>> 2026-09-13T14:32:17.984Z GET /allproducts from ::1
>>> 2026-09-13T14:32:18.023Z GET /allproducts from ::1
>>> 2026-09-13T14:32:23.794Z GET /allproducts from ::1
>>> 2026-09-13T14:32:23.999Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:33:23.794Z GET /allproducts from ::1
>>> 2026-09-13T14:33:23.997Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:34:23.802Z GET /allproducts from ::1
>>> 2026-09-13T14:34:23.990Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:35:23.796Z GET /allproducts from ::1
>>> 2026-09-13T14:35:23.978Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:36:21.562Z GET /allproducts from ::1
>>> 2026-09-13T14:36:23.781Z GET /allproducts from ::1
>>> 2026-09-13T14:36:23.964Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:36:28.824Z GET /allproducts from ::1
>>> 2026-09-13T14:36:44.420Z GET /allproducts from ::1
>>> 2026-09-13T14:37:23.784Z GET /allproducts from ::1
>>> 2026-09-13T14:37:23.966Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:37:25.091Z GET /allproducts from ::1
>>> 2026-09-13T14:38:23.792Z GET /allproducts from ::1
>>> 2026-09-13T14:38:23.979Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:38:25.352Z GET /allproducts from ::1
>>> 2026-09-13T14:38:32.942Z GET /allproducts from ::1
>>> 2026-09-13T14:38:37.858Z GET /allproducts from ::1
>>> 2026-09-13T14:39:23.799Z GET /allproducts from ::1
>>> 2026-09-13T14:39:23.986Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:39:43.729Z GET /allproducts from ::1
>>> 2026-09-13T14:39:47.536Z GET /allproducts from ::1
>>> 2026-09-13T14:39:50.943Z GET /allproducts from ::1
>>> 2026-09-13T14:39:56.324Z GET /allproducts from ::1
>>> 2026-09-13T14:40:23.791Z GET /allproducts from ::1
>>> 2026-09-13T14:40:23.982Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:41:23.799Z GET /allproducts from ::1
>>> 2026-09-13T14:41:23.980Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:41:43.309Z POST /getcart from ::1
>>> 2026-09-13T14:41:43.321Z GET /userfavorites from ::1
>>> 2026-09-13T14:41:43.326Z GET /user/profile from ::1
>>> 2026-09-13T14:41:43.481Z GET /allproducts from ::1
>>> 2026-09-13T14:41:43.513Z GET /allproducts from ::1
>>> 2026-09-13T14:41:45.787Z POST /getcart from ::1
>>> 2026-09-13T14:41:45.823Z GET /userfavorites from ::1
>>> 2026-09-13T14:41:45.834Z GET /allproducts from ::1
>>> 2026-09-13T14:41:45.835Z GET /user/profile from ::1
>>> 2026-09-13T14:41:45.932Z GET /allproducts from ::1
>>> 2026-09-13T14:41:45.976Z GET /allproducts from ::1
>>> 2026-09-13T14:42:23.884Z GET /allproducts from ::1
>>> 2026-09-13T14:42:24.085Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:43:23.795Z GET /allproducts from ::1
>>> 2026-09-13T14:43:24.023Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:44:14.460Z GET /allproducts from ::1
>>> 2026-09-13T14:44:23.791Z GET /allproducts from ::1
>>> 2026-09-13T14:44:23.991Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:44:52.241Z GET /allproducts from ::1
>>> 2026-09-13T14:45:04.668Z GET /allproducts from ::1
